Campaign,Device,Impressions,Clicks,Cost
Brand_Search,mobile,71445,4672,9933.67
Brand_Search,mobile,401437,4145,2797.54
Brand_Search,mobile,260750,24945,28718.01
Brand_Search,mobile,342622,24888,49337.28
Brand_Search,mobile,50209,4006,478.52
Brand_Search,mobile,439181,25556,28374.3
Brand_Search,mobile,400654,148,259.71
Brand_Search,mobile,140633,11831,23833.25
Brand_Search,mobile,310934,30984,9309.35
Brand_Search,mobile,167424,1012,105.95
Brand_Search,mobile,341549,613,1441.11
Brand_Search,mobile,200860,7107,17228.43
Brand_Search,mobile,381555,1913,2568.57
Brand_Search,mobile,401399,28707,67488.99
Brand_Search,mobile,290857,7647,6859.1
Brand_Search,mobile,355863,14348,27466.69
Brand_Search,mobile,152929,15189,1559.15
Brand_Search,mobile,440132,36477,84238.6
Brand_Search,mobile,53428,1532,2438.81
Brand_Search,mobile,380395,19434,6727.67
Brand_Search,desktop,175428,16420,38493.07
Brand_Search,desktop,222305,16646,34683.4
Brand_Search,desktop,352433,12451,9876.79
Brand_Search,desktop,309061,28927,36836.71
Brand_Search,desktop,494309,33124,33578.34
Brand_Search,desktop,448368,2272,2786.74
Brand_Search,desktop,390929,26505,28229.66
Brand_Search,desktop,91705,6024,8400.81
Brand_Search,desktop,369595,24566,6432.5
Brand_Search,desktop,349000,33330,10480.0
Brand_Search,desktop,86825,8545,18011.85
Brand_Search,desktop,195260,16056,29627.76
Brand_Search,desktop,247058,1434,1155.66
Brand_Search,desktop,445754,40302,60586.0
Brand_Search,desktop,207359,5592,2589.41
Brand_Search,desktop,119980,211,408.87
Brand_Search,desktop,283914,28199,39293.31
Brand_Search,desktop,213050,16845,15032.03
Brand_Search,desktop,445313,37876,34676.3
Brand_Search,desktop,477973,17657,29400.25
Brand_Search,tablet,320262,31372,57631.32
Brand_Search,tablet,202163,16803,34150.3
Brand_Search,tablet,272936,25483,36321.6
Brand_Search,tablet,224394,1849,2271.87
Brand_Search,tablet,192226,18687,26316.58
Brand_Search,tablet,494362,33087,35165.86
Brand_Search,tablet,427430,23392,24920.43
Brand_Search,tablet,1830,147,201.87
Brand_Search,tablet,413323,40147,34578.08
Brand_Search,tablet,315496,926,1871.63
Brand_Search,tablet,334117,11623,16264.68
Brand_Search,tablet,95782,1510,3029.32
Brand_Search,tablet,418908,16740,2168.25
Brand_Search,tablet,495702,44123,9822.27
Brand_Search,tablet,456122,1103,1279.31
Brand_Search,tablet,396389,18438,12195.26
Brand_Search,tablet,58403,5128,2575.77
Brand_Search,tablet,153192,1148,528.43
Brand_Search,tablet,134806,8650,20606.86
Brand_Search,tablet,345277,17895,29313.74
Retargeting,mobile,155399,7459,13213.12
Retargeting,mobile,261305,15534,5122.6
Retargeting,mobile,164580,12676,11296.71
Retargeting,mobile,418439,12333,8425.06
Retargeting,mobile,133885,11972,15561.02
